nom_officiel,adresse,code_postal,ville,region,departement,domaine_thematique,histoire,atout,interet,annee_creation,idmuseofile,payant,gratuit,total,individuel,scolaires,groupes_hors_scolaires,moins_18_ans_hors_scolaires,_18_25_ans
musée des beaux-arts et d'archéologie,1 place de la Révolution - place du marché,25000,Besançon,Bourgogne-Franche-Comté,Doubs,"Archéologie,Arts décoratifs,Art moderne et contemporain,Beaux-arts,Histoire,Ethnologie,Afrique,Amérique,Asie,Océanie,Arts de l'Islam","Plus ancienne collection publique française : son origine remonte à 1694. Jean-Baptiste Boisot, abbé de St-Vincent, lègue ses collections (manuscrits, livres imprimés, médailles, 11 tableaux et 4 bustes provenant de la famille Granvelle) aux Bénédictins de la ville, à condition que ces collections soient accessibles au public deux fois par semaine. Cette « bibliothèque-musée Boisot » est fréquentée durant tout le XVIIIe siècle. C'est en 1843 que les collections sont installées dans la nouvelle halle aux grains, place du Marché. Le XIXe siècle est l'époque d'apports considérables, en particulier : dépôt de la collection Pierre-Adrien Pâris (38 peintures, 183 dessins dont ceux, célébrissimes, de Fragonard ), legs Jean Gigoux (460 peintures, 3000 dessins), etc. Au XXe siècle, le dépôt de la collection George et Adèle Besson (112 peintures, 221 dessins et estampes) est à l'origine du réaménagement du musée","Les collections archéologiques se composent d'objets de provenances régionale ou méditerranéenne de la Préhistoire au Moyen-Age, l'un des points forts en est une belle collection d'antiquités égyptiennes où le visiteur peut découvrir le fameux sarcophage de Séramon. La collection de peinture offre une approche des principales tendances de l'art européen entre la fin du XVe et le début du XXe siècle, à partir des écoles italienne, flamande, hollandaise, française mais aussi espagnole, britannique et allemande. La collection de sculpture est illustrée par des oeuvres du Moyen-Age, de la Renaissance, du XVIIIe siècle (ensemble de terres cuites de Luc Breton, artiste bisontin), du XIXe siècle et 2 bronzes d'Auguste Rodin (buste de Victor Hugo et L'Eternel Printemps). Le cabinet des dessins conserve des séries italiennes ou nordiques, ainsi que des pièces prestigieuses d'artistes français qui font de ce lieu l'un des plus riches de France dans ce domaine",Art religieux,,M0332,14394,48691,63085,51578,9254,2253,0,
musée de la résistance et de la déportation,99 rue des fusillés,25042,Besançon,Bourgogne-Franche-Comté,Doubs,"Art moderne et contemporain,Histoire","""Le musée de la Résistance et de la déportation est créé à l'initiative d'une ancienne déportée, Denise Lorach. C’est un musée pionnier qui présente à travers ses collections uniques l’engagement résistant et atteste de la réalité concentrationnaire. Les objectifs qui ont présidés à la collecte sont énoncés clairement dans les deux devises qui introduisent la visite : « Ne pas témoigner serait trahir » "," « Ceux qui ne souviennent pas du passé sont condamnés à le revivre ».  A partir de 1969, l'Association des Amis du Musée de la Résistance et de la Déportation fédère résistants et déportés et collecte sur le territoire comtois des archives et des objets témoignant de l'occupation et de la Résistance en Franche-Comté. La qualité du propos historique incitera les nombreux visiteurs, mais également artistes et chercheurs à enrichir les collections au fil des ans. Ce sont des collections soumises aux statuts des musées de France, inaliénables et imprescriptibles. Elles sont dans la très grande majorité des biens affectés émanant presque exclusivement de dons à titre gracieux. Pour toutes les collections intégrées au musée avant la date de leur dévolution à la Ville de Besançon (de 1969 à 2001), on parle de cessions (au franc symbolique) puis de dons après 2001.  Une des caractéristiques du musée est l’hétérogénéité apparente des collections (dessins, objets, affiches, photographies, livres et brochures, cartes et plans). Toute la richesse du musée provient aussi bien de ces collections « muséales » que des archives qu’il conserve. Collections et archives se renseignent et s’illustrent les unes les autres et cette complémentarité est l'une des singularités et l'une des forces du musée. Les collections révèlent la diversité des donateurs (associations ou privés), des origines (français, étrangers), des thématiques et de l’intérêt qu’elles suscitent pour différents territoires, du local à l’international (européen notamment).  La collecte a été engagée sur les deux axes forts que sont la Résistance et la déportation, souvent consécutifs dans les parcours individuels. La Résistance apparaît comme un axe de collecte structurant, documentant l'organisation de la résistance intérieure dans ces différents aspects (mouvements et réseaux) aussi bien que la Résistance extérieure. La spécificité géographique de la région, à la confluence de toutes les zones d'occupation permet d'illustrer toutes les actions de résistance : presse clandestine (petite imprimerie, et collections d'originaux de cette presse et des tracts), passage (carnets de passeurs, faux papier), maquis dont les maquis école Périclès, actions armées. La répression subie par les résistants est largement évoquée également par les collections : affiche de condamnation, dernières lettres de fusillés, objets témoignant de la survie en prison. Pour ceux qui échappent à la condamnation sur le sol français c'est le départ vers l'inconnu de la déportation. En témoignent ces petits billets jetés des trains attestant de la présence de l'être aimé dans tel ou tel convois. Lors de la conception du musée, les rencontres et les contacts pris par Denise Lorach ont orienté la collecte vers des pièces en lien avec la déportation NN (Nacht und Nebel, nuit et brouillard), une déportation par mesure de répression, ce qui a contribué à forger l’identité du musée. Les collections liées à la déportation témoignent surtout ce type de déportation par mesure de répression (incluant la déportation NN) plutôt que la déportation ayant trait à la Solution finale : témoignages fragiles que sont les dessins et objets réalisés au camp pour conserver un peu d'humanité, faire un présent à un camarade, se remémorer le moment le passé ou l'on mangeait à satiété (petits carnets de cuisine) ou conserver une vie spirituelle (chapelet ou ciboire confectionné au camp).""",,,M0335,24000,0,24000,0,0,0,,
musée municipal,2 place d'Arçon,25300,Pontarlier,Bourgogne-Franche-Comté,Doubs,"Archéologie,Arts décoratifs,Beaux-arts,Ethnologie,Histoire","Commencée en 1836 avec le regroupement de portraits de personnalités locales, la constitution des collections du musée de Pontarlier se poursuit avec le don Willemot en 1889, les dons réguliers d’œuvres d'artistes comtois par le salon des Annonciades depuis 1924.  Créé en 1977, le musée reçoit le dépôt de collections archéologiques en 1982 et en 1993.","""Collections sur 3 niveaux : - histoire de Pontarlier : plusieurs fois détruite au cours des siècles, Pontarlier n'a pu garder que peu de pièces significatives de son patrimoine et de son histoire que retracent gravures, sculptures, tableaux, photographies et documents divers ","  Peintures comtoises : peintres régionaux se réclamant de l'héritage de Courbet.""",,M0340,1236,8101,9337,6362,2618,357,831,
musée de la Chasse et de la Nature,62 rue des archives,75003,Paris,Ile-de-France,Paris,"Arts décoratifs,Sciences de la nature,Ethnologie,Afrique","La collection de François et Jacqueline Sommer, constituée à partir des années 1930 et enrichie au cours des années 1955-1965, constitue le fonds du musée.","Collection d'anciennes armes de chasse, oeuvres de peintres animaliers des XVIIe et XVIIIe, art contemporain explorant les rapports de l'homme à la nature",Histoire : Musée thématique,,M0363,41734,59150,100884,92460,6928,1496,6313,2818
musée de la franc-maçonnerie,16 rue Cadet,75009,Paris,Ile-de-France,Paris,"Arts décoratifs,Ethnologie,Histoire","Le musée du Grand Orient de France a été créé en 1889 sur l'emplacement de l'Hôtel Cadet, acheté en 1851, au 16 de la rue Cadet, dans le 9e arrondissement. Sa naissance, en 1889, tient plus, au départ, de la constitution d'un cabinet de curiosités que de celle d'un espace culturel. Victime de spoliations sous l'Occupation, le Musée a rouvert ses portes en 1973, à l'occasion du bi-centenaire de la création du Grand Orient de France et a dévoilé des pièces emblématiques comme le tablier de Voltaire ou l'épée de La Fayette. Au milieu des années 1980, la Direction des Musées de France le fait bénéficier de son aide, notamment lors de la vente Baylot. En 1998, commence sa réhabilitation et sa rénovation. En 1999 sont créés une Association des Amis du Musée et un Comité Scientifique, pour permettre de faire circuler l'information, d'ouvrir les portes à toutes les obédiences, d'être, non seulement, un parcours de découverte et de réflexion mais, aussi, un parcours de mémoire pour le présent et l'avenir.","""Les collections présentent l'histoire de la franc-maçonnnerie (traduction et originaux des constitutions de 1723 d'Anderson) : - les origines médiévales ","  - le XXe siècle. On peut y voir les Tabliers de Voltaire, Jérôme Bonaparte, Joseph de Maistre, du Président Paul Doumer, le fauteuil de Louis-Philippe-Joseph d'Orléans dit """"""Philippe-Egalité"""""", l'épée de La Fayette, la loge des Neuf Sœurs, le compagnonnage, une collection de bustes de Marianne maçonniques (David d'Angers, Bartholdi, Jacques France).""",,M0366,12575,4139,16714,14275,347,2092,729,2006
Maison Natale de Louis Braille,13 rue Louis Braille,77400,Coupvray,Ile-de-France,Seine-et-Marne,"Ethnologie,Histoire","""Dans les années 1880, la demeure cesse d’appartenir à la famille Braille. Elle serait probablement tombée dans l’oubli sans la volonté d’un homme, Jean Roblin. Celui-ci fonde l’association Les amis de Louis Braille, qui fait l’acquisition de la maison en 1952 pour la restaurer et y établir un musée. Les premiers visiteurs y sont accueillis dès 1953. Mais l’association, ne pouvant assumer seule la lourde charge du musée, en offre la propriété à la commune, à la condition que celle-ci soit gérée par l’Organisation Mondiale pour la Promotion Sociale des Aveugles (devenue l’Union Mondiale des Aveugles). C’est en 1956 que la demeure devient officiellement un musée communal, dont Jean Roblin est le premier conservateur. Le musée Louis Braille n’a eu de cesse d’étendre et de développer ses domaines d’actions. Il s’est fixé quatre grandes missions :  - protéger et promouvoir la mémoire et l’œuvre de Louis Braille en France et dans le monde "," - préserver, conserver et enrichir les collections du musée. - présenter et mettre en valeur les collections auprès de différents publics.  - sensibiliser les publics au braille et à sa problématique de raréfaction, et plus largement au handicap visuel. Les collections du musée ont été formées à partir d'archives municipales, de diverses donations, dont une donation de la famille Louis Braille. Elles se composent d’environ un millier d’items répartis en : - objets liés à l'histoire et à l'évolution des inventions de matériels pour l’apprentissage de la lecture et de l'écriture des personnes aveugles (machine à écrire, raphigraphe, plage informatique braille, livres gaufrés en relief, livres en braille, tablettes, poinçons, matériel de géométrie...) ","""Ethnologie : Habitat, Mobilier, Métiers et Outils",,M0373,4222,891,5113,,,,,
musée municipal,place de Samois,77250,Moret-Loing-et-Orvanne,Ile-de-France,Seine-et-Marne,"Archéologie,Beaux-Arts,Histoire",Les collections du musée ont été constituées à partir de dons faits par des particuliers.,Statue de sainte Barbe (XVIIe siècle).,"Autres collections : Archives papier, Manuscrits, incunables",,M0380,0,1763,1763,1763,0,0,67,
musée de préhistoire d'Ile-de-France,48 avenue Etienne Dailly,77140,Nemours,Ile-de-France,Seine-et-Marne,Archéologie,"En 1972, à l’initiative de Michel Brézillon, alors directeur des Antiquités préhistoriques d’Île-de-France, Étienne Dailly, président du Conseil général de Seine-et-Marne, fait adopter la création d’un musée de Préhistoire à Nemours par l’assemblée départementale.  Michel Brézillon est le principal collaborateur d’André Leroi-Gourhan qui dirige les fouilles du site de Pincevent, sur le territoire de la commune de la Grande-Paroisse, près de Montereau-Fault-Yonne (Seine-et-Marne). Il a mis au point une remarquable méthode de moulage des sols préhistoriques après leur décapage par les archéologues et souhaite utiliser ces moulages pour mettre en valeur les résultats des fouilles de Pincevent. En raison de sa proximité avec le site de Pincevent, la ville de Montereau a été initialement sollicitée pour l’installation d’un musée de Préhistoire, mais n’a pas semblé intéressée. Nemours, ville plus éloignée du site, mais qui possède d’importants vestiges préhistoriques, est alors choisie. La réalisation du musée de Préhistoire d’Île-de-France s’inscrit dans une période faste pour les musées (fin des années 1970 et début des années 1980). Beaucoup de collectivités locales se lancent alors dans d’importantes rénovations ou dans des créations d’équipements muséaux nouveaux. Ce mouvement, basé sur l’idée que le patrimoine et la culture participent au développement du territoire, touche tous les types de musées et va se poursuivre tout au long des années 1980. Le musée de Préhistoire d’Île-de-France occupe une place particulière dans cette histoire, car il est alors, hors de Paris, le premier projet de musée pour lequel un bâtiment entièrement neuf est construit. Le musée est inauguré le 10 janvier 1981. Loin d’être limitée aux seules fouilles de Pincevent, la programmation du futur musée concerne l’ensemble des sites de la Préhistoire régionale. Les collections conservées dans l’établissement sont de nature très diverse.  Une partie du mobilier archéologique conservé provient de fouilles anciennes.  Une autre, numériquement plus importante, est issue de fouilles de sauvetage effectuées au cours des cinquante dernières années.  La plus grande part résulte cependant de ramassages effectués en surface de champs au cours du XXe siècle et, dans une moindre mesure, au cours du siècle précédent. Le solde est constitué d’objets mis au jour, isolément ou non, de manière fortuite, tant au XIXe qu’au XXe siècle, et figurant pour certains dans des collections rassemblées autrefois par des « amateurs d’antiquités ».","Archéologie pré et protohistorique de l'Ile-de-France, moulages de sols préhistoriques, jardins intérieurs évoquant les climats du passé.","Archives papier, Image animée, Photographie, Moulages",,M0382,5455,28761,34216,13820,17591,2805,3240,193
musée Rambolitrain,4 place Jeanne d'Arc,78120,Rambouillet,Ile-de-France,Yvelines,Technique et industrie,"Don de Monsieur Jacques Visbecq, en 1984, possesseur d'une importante collection de trains-jouets et maquettes regroupant quelques 4.000 pièces. Il permet ainsi la création, la même année, du musée du train jouet de Rambouillet","L'originalité du musée réside dans la présence simultanée de trains-jouets 1880 - 1950, de modèles réduits, réseaux fonctionnels ou animés, trains à vapeur à grandes échelles.  Musée unique en France, qui reconstitue avec plus de 4.000 pièces de collection et 400 mètres de voies, l'histoire du chemin de fer.",,1984,M0395,16157,2798,18955,17959,684,312,8014,
musée départemental Maurice Denis,2bis rue Maurice Denis,78100,Saint-Germain-en-Laye,Ile-de-France,Yvelines, Maison d'artiste ," Musée d'art sacré""","Arts décoratifs,Art moderne et contemporain,Beaux-arts","""Art religieux",,M0396,10340,2682,13022,9140,2466,1416,717,301
collections de la Fondation de Coubertin,conservation des collections,78470,Saint-Rémy-lès-Chevreuse,Ile-de-France,Yvelines,"Arts décoratifs,Beaux-arts","La Fondation de Coubertin est née en 1973, de la rencontre entre Yvonne de Coubertin, humaniste de conviction, et Jean Bernard, artiste, tailleur de pierre et rénovateur du compagnonnage français. La Fondation de Coubertin œuvre pour l’élévation morale et culturelle des individus attachés à la perfection et à la qualité du travail manuel. Jean Bernard a voulu confier à la Fondation l'essentiel de l’œuvre de son père, le sculpteur Joseph Bernard (dont 1.500 dessins et ce qu'il restait de ses archives). Il a également souhaité créer un jardin de sculptures, voué à l’École française de sculpture, de Rude à Zadkine. Cette collection est constituée à partir de bronzes, allant de Bernard à Chauvin et Hajdu, grâce aux ayants-droit de ces artistes.","Quelques « tailles directes » de Joseph Bernard. De grands bronzes dans le « Jardin des Bronzes » (Abbal, Wlérick). Une collection de dessins de sculpteurs (dont une majeure partie de Joseph Bernard) exceptionnelle.  Beaucoup de dépôts d’œuvres d'Antoine Bourdelle, par le musée Bourdelle de Paris.  Un panorama chronologique large de la création sculptée en France de la fin du XIXe siècle à nos jours.", Jean Chauvin ,,M0399,1258,2159,3417,3062,286,69,,
musée des années trente,26 avenue André Morizet,92100,Boulogne-Billancourt,Ile-de-France,Hauts-de-Seine,"Arts décoratifs,Beaux-Arts,Histoire","L'ancien musée municipal a été crée en 1939, à l'intiative de M. Morizet (alors maire) et du Dr Bezançon. Ce dernier, avec l'aide de la société historique et artistique, dont il était le président, réunit de nombreux documents et objets d'art. Le musée est ouvert au public en 1958.  Le nouveau musée des années 1930 accueille, lui, le public depuis 1998. Les collections des années 1930 y sont tout particulièrement valorisées, aux côtés de celles présentant l'histoire de la ville, de ses industries (automobile, aviation), ses studios de cinéma ou encore ses stades de sport.  Le musée possède la plus importante collection d'art de l'entre-deux-guerres : 450 peintures, 2.000 dessins, plus de 800 sculptures, importantes pièces de décoration et de mobilier.","""Sculptures monumentales dans le hall d'entrée. Peintures de l'école de Paris. Thématiques des années 1930 (vie parisienne, paysages, voyages, décorations, mais aussi entrée en guerre). Documents relatifs aux """"""Dimanches de Boulogne"""""" (autour de Juan Gris, Khanweiler, Max Jacob, Picasso, ...). Art colonial. Ameublement et décoration. Plans. Maquettes.""","Beaux-Arts : Dessin, Peinture, Sculpture",,M0406,5534,12462,17996,11514,5500,982,1084,
musée d'Art et d'Histoire Louis Senlecq,31 grande rue,95290,L'Isle-Adam,Ile-de-France,Val-d'Oise,Beaux-arts,"Les premiers statuts de l'« Association des Amis de L’Isle-Adam » sont déposés à la préfecture de Pontoise le 1er juillet 1939, et publiés au Journal Officiel du 20 juillet 1939. Cette association a été fondée par le docteur Louis Senlecq, alors maire de L’Isle-Adam, chirurgien, amateur d’art et d’histoire régionale. Son objectif était de fonder un musée consacré à l’histoire locale et aux artistes et grands hommes qui ont illustré la ville. Interrompue par la Seconde Guerre Mondiale, l’activité de l’association se poursuit dans les années 1950 et les premières expositions sont organisées à partir des années 1970. Constituées à l’origine par un cercle de donateurs proches du fondateur de l’association - le docteur Louis Senlecq – puis grâce à la générosité des descendants d’artistes, de collectionneurs et de mécènes, les collections du musée racontent l’histoire de la ville et de son territoire. Aux généreuses donations dont le musée bénéficie régulièrement, s’ajoute une politique dynamique d’achats et de mises en dépôt de grands musées nationaux comme le Louvre, le musée Orsay ou le château de Versailles, initiée en 1992 par le premier conservateur du musée et toujours soutenue par la Municipalité.","L’axe principal de la collection de peintures s’articule autour de l’Ecole des bords de l’Oise et de son principal représentant Jules Dupré (1811-1889). L’Isle-Adam au XVIIIe siècle : constituée de peintures et de gravures, cet ensemble retrace l’urbanisation de L’Isle-Adam sous l’influence de commanditaires prestigieux : les princes de Conti, aristocrates à l’origine de la construction d’un splendide château aujourd’hui disparu mais dont la maquette permet l’évocation et les Bergeret, mécènes du peintre Fragonard et inventeurs d’un des plus beaux parcs à folies français. Un important dépôt consenti par le musée des Beaux-Arts de Bordeaux permet l’exposition temporaire des aquarelles préparatoires exécutées par Bergeret pour l’édification des fabriques du parc.  Le fonds d’atelier de Jules Romain Joyant (1803-1854), un Canaletto français : virtuose de l’aquarelle, cet artiste qui se rendit en Italie sur les conseils de Bonington en 1829 fut subjugué par Venise, qu’il évoqua sans cesser de rendre hommage à ses prestigieux prédécesseurs italiens du XVIIIe siècle, Pannini, Canaletto et Guardi. La donation faite en 1974 de 141 dessins (par François Barbier, petit-fils d’un neveu de l’artiste), puis celle en 1980 de la grande peinture du Campo Vaccino (par les petits-enfants de Madame Sabatier) sont tout à fait admirables au titre de l’enrichissement des collections du musée. La présence de cet ensemble extrêmement complet, depuis les esquisses préparatoires jusqu’aux huiles les plus achevées offre un véritable voyage dans les arcanes de la création d’un grand vedutiste romantique.  Les trésors de la collection d’estampes : Edouard Knecht (1789-1890) neveu d’Aloys Senefelder inventeur à Munich de la lithographie en 1796, s’installa à L’Isle-Adam vers 1835. Sa présence dans la ville est l’occasion d’évoquer les incunables de la lithographie et les plus belles œuvres gravées que recèle la collection du musée, riche de près de six cents planches.  Les Arts décoratifs à L’Isle-Adam au XXe siècle : les manufactures de terres cuites d’édition décoratives Hanne (1890-1908) et Joseph Le Guluche (1849-1915), modeleur de plusieurs centaines de sujets, sur les thèmes de l’orientalisme, la vie paysanne ou maritime. Editées par dizaines, ces figurines restent pourtant uniques par l’extraordinaire travail de reprises et de retouches à la main dont elles faisaient l’objet après démoulage. Tombées en désuétude après avoir fait pendant longtemps la célébrité de L’Isle-Adam, ces scènes de genre réalistes témoignent de ce goût de la sculpture d’édition et de la diffusion  opulaire des grands modèles sculptés exposés aux Salons.  La manufacture Méran : fondée à la fin du XIXe siècle par Georges Méran, cette entreprise s’est spécialisée dans les grès et dans les pièces de formes aux couvertes épaisses. De prestigieux décorateurs firent appel à elle, dont Süe et Mare, fondateurs en 1919 de la Compagnie des Arts Français.  Christian Fjerdingstad (1891-1968), un orfèvre art déco : chef de file du renouvellement de l’orfèvrerie au début du XXe siècle, ce Danois travaillera pour la maison Christofle de 1925 à 1947 créant un vocabulaire formel très novateur en parvenant à une vision plus organique et sensuelle de la forme et de la matière. Fjerdingstad est aussi un artiste indépendant qui développe de nombreux modèles dans son atelier de L’Isle-Adam, où il emploiera jusqu’à une dizaine d’ouvriers. Jacques Henri Lartigue (1894-1986) : familier de la ville de L’Isle-Adam, ami intime du maire Michel Poniatowski (1922-2002), Jacques Henri Lartigue (peintre et photographe) a séjourné plusieurs années de suite, après la Seconde Guerre mondiale, à Piscop près de Domont, et peint de nombreux paysages du Val-d’Oise. En 1985, il fait avec sa femme Florette une importante donation à la ville. À la mort de Jacques Henri en 1986, Florette Lartigue enrichit généreusement ce fonds, portant la collection à plus de 300 œuvres, qui seront le point de départ de la création, en 1998, du Centre d’art Jacques Henri Lartigue de L’Isle-Adam. Après la mort de Florette, 1.100 peintures sont encore déposées à la ville par la Fondation de France.","Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture",,M0435,624,2719,3343,2084,1062,197,,
musée municipal de la Vignasse,château,30300,Beaucaire,Occitanie,Gard,"Archéologie,Beaux-arts,Ethnologie,Histoire","""Le musée du Vieux Beaucaire, 27 rue Barbès, est créé en 1927. Il réunit des collections paléontologiques, archéologiques, d’histoire locale, d’arts et traditions populaires, gérées par le Comité des Musées de Beaucaire. La même année est créé le musée lapidaire créé pour abriter les collections appartenant à la Ville de Beaucaire. Il s'agit plutôt d'un dépôt d’objets : inscriptions et sculptures pré-romaines, gallo-romaines et historiques (dont 28 classées Monument historique) exposées dans l’Ecole de la Préfecture (76, bis rue de Nîmes) ou stockées dans la chapelle Saint-Pierre (chapelle funéraire du XVIIIe siècle, construite contre la façade occidentale de la collégiale Notre-Dame des Pommiers). Une salle d’exposition temporaire est située dans la chapelle Notre-Dame-de-Vie (6, rue Nationale) et utilisée par la Société d’Histoire et d’Archéologie de Beaucaire (SHAB) pour présenter ses collections archéologiques issues de fouilles récentes et ses travaux d’histoire locale.  En 1979, la municipalité crée, avec l’accord du Ministère de la Culture, un musée municipal contrôlé dans un ancien couvent situé dans l’enceinte du château médiéval. Il abrite les trois collections locales qui n’en deviennent qu’une, municipale. Outre le mobilier lapidaire qui appartenait à la Ville antérieurement à la création des premiers musées, la totalité des collections ci-dessus fait l’objet d’un don au musée municipal contrôlé le 18 mai 1979. L’ensemble est transféré au musée actuel à partir de 1983. Le musée est baptisé « musée Auguste Jacquet », en 1991, en hommage au dernier président de l’association Comité des Musées. Le fonds actuel est issu pour l’essentiel de la donation à la Ville des collections de deux associations d’histoire locale : le Comité des musées du Vieux Beaucaire, créé en 1927, et la Société d’Histoire et d’Archéologie de Beaucaire, fondée en 1962.  Ce fonds s’est ensuite enrichi de donations et d’acquisitions.  1- Collections de l’ancien musée lapidaire : autels, sarcophages et cippes funéraires antiques protégés au titre des Monuments historiques "," Vestiges gallo-romaines découverts lors de l’implantation du canal de Beaucaire au XIXe siècle.  2- Collections du musée du Vieux Beaucaire : le docteur Numa Julian (1856-1934) est l’un des fondateurs du Comité des musées du Vieux Beaucaire. Les collections qu’il a léguées regroupaient notamment découvertes archéologiques fortuites, mobilier de fouilles (tombes gallo-romaines du Sizen mises au jour aux XIXe et XXe siècles), collections de géologie et de conchyliologie (série de fossiles et de coquillages provenant des carrières de pierre de Beaucaire), ouvrages imprimés et manuscrits. Les collections d’histoire locale proviennent également pour l’essentiel du fonds du musée du Vieux Beaucaire et se composent globalement de quatre fonds : une importante série d’affiches de la Foire de Beaucaire des objets et tableaux provenant de l’ancien Hôtel-Dieu, de gravures, de photos, textes, documents imprimés ou manuscrits. Parmi ces documents, des œuvres en provençal où les félibres locaux prennent une part active (notamment manuscrits de Pierre Bonnet, La Carlamouso). Du mobilier, des éléments du costume traditionnel, de la vaisselle, des objets usuels des XVIIIe et XIXe siècles composent une importante collection d’art et traditions populaires.  3- Collections léguées par la Société d’histoire et d’Archéologie de Beaucaire (SHAB) : Dons des découvertes effectuées lors des travaux de la SHAB - prospections, fouilles, sauvetages à partir de 1961 :  - mobilier divers issu de la nécropole antique des Marronniers découverte en 1959-1960 ", Matériel de la nécropole des Colombes découverte en 1964 ,,M0451,467,1483,1950,,0,0,,
musée du vieux Nîmes,place aux herbes,30000,Nîmes,Occitanie,Gard,"Arts décoratifs,Beaux-arts,Ethnologie,Histoire,Photographie,Technique et industrie","La création du musée du Vieux Nîmes est due à l'initiative d'un journaliste et érudit nîmois Henri Bauquier : il a pour but de réunir des témoignages de la vie à Nîmes, des documents relatifs à ses industries particulières, à ses mœurs et à ses coutumes.  Installé en 1921 dans l'ancien palais épiscopal, le musée réunit à l'origine des collections en provenance des autres musées de la ville (musées d'archéologie et de beaux-arts), puis grâce aux libéralités de nombreux donateurs, constitue des fonds aussi abondants que variés : textiles et documents concernant l'activité industrielle et économique de la ville, du moyen âge à la fin du XIXe siècle, collection de céramiques de la région de l'Uzège, iconographie de la ville et du département (peintures, dessins, gravures, plans photographies), mobiliers (armoires historiées), objets du quotidien, armes...  A partir des années 1950, le musée s'enrichit de deux salles consacrées à la présentation de collections taurines, permettant d'évoquer les traditions liées au taureau, qu'il s'agisse de l'élevage et des jeux taurins en Camargue comme de l'organisation de corridas dans les arènes de Nîmes. Ces collections ont depuis 2002 été installées dans un bâtiment spécialement aménagé, le musée des Cultures Taurines  - Henriette et Claude Viallat, qui dépend du musée du Vieux Nîmes.","Collections de textiles, notamment châles cachemire et mode masculine et féminine du XVIIIe au XXe siècles.  Iconographie de l’histoire de Nîmes. Mobilier régional. Collection très complète des terres vernissées produites dans l'Uzège.","Collections militaires : Armes, Uniformes, Armures",,M0458,8649,3822,12471,8035,4002,434,,
musée départemental d’art sacré,2 rue Saint-Jacques,30130,Pont-Saint-Esprit,Occitanie,Gard,"Archéologie,Arts décoratifs,Art moderne et contemporain,Beaux-arts,Histoire,Ethnologie,Afrique,Asie","Le musée d'art sacré du Gard, situé dans le centre historique de Pont-Saint-Esprit, est installé dans la « Maison des chevaliers », demeure médiévale dont l'origine remonte au XIIe siècle. Le bâtiment, acquis par le Conseil général du Gard en 1988, est intégralement classé monument historique depuis 1992. A l’inverse d’autres institutions muséales, le musée d’art sacré du Gard, inauguré en 1996, est un établissement relativement jeune, les premières acquisitions remontant à l’année 1989. Le projet scientifique et culturel est axé autour d’une approche culturelle et laïque de l’art sacré, et non une approche religieuse. Dans sa démarche, le musée s’intéresse tout autant à la dimension artistique des objets qu’au sens et à la signification dont ils sont porteurs. Autour de l’art sacré, il fait ainsi dialoguer des objets de natures très diverses et provenant de cultures, de religions, d’époques et de civilisations différentes. En 2014, lorsque le musée municipal Paul-Raymond de Pont-Saint-Esprit a fermé ses portes, le musée d’art sacré du Gard a intégré dans ses collections tous les objets provenant de ce musée, par un transfert de propriété (histoire locale, archéologie, oeuvre du peintre Benn…). L’histoire locale a ainsi été intégrée au projet scientifique et culturel du musée.","Mais quel rapport y a-t-il entre une Vierge à l’Enfant romane, un soldat en terre cuite du tombeau d’un empereur chinois, un sarcophage égyptien et un Bouddha birman ? Différent des traditionnels musées des beaux-arts, le musée laïque d’art sacré du Gard a pour ambition de faire dialoguer des objets que l’on n’a pas l’habitude de voir associés. S’ils peuvent être appréciés pour leur qualité esthétique, tous ces objets, témoins de différentes cultures et croyances, n’ont plus de signification pour beaucoup d’entre nous. Le musée invite ainsi à la contemplation d’œuvres exceptionnelles relevant de l’art sacré, tout en proposant aux visiteurs, dans son approche culturelle, d’en déchiffrer le sens. Avec la certitude que l’appropriation de ce patrimoine commun est indissociable de l’idéal laïque.","Beaux-Arts : Dessin, Peinture, Sculpture",,M0461,148,7733,7881,4576,2835,470,453,
musée Agathois,5 rue de la Fraternité,34300,Agde,Occitanie,Hérault,"Arts décoratifs,Beaux-arts,Ethnologie,Afrique,Asie,Océanie,Histoire","Fondé en 1935 et niché au cœur du centre historique, le Musée Agathois Jules Baudou présente les arts et traditions de la cité d'Agathé, fille de la Méditerranée.","Collections d'art et traditions populaires : reconstitutions d'intérieurs languedociens, costumes agathois, sports et jeux, ustensiles ménagers,  maquettes de bateaux. Beaux-Arts. Histoire locale. Peinture. Mobilier Art nouveau. Collections d'Extrême-Orient (remarquables armures japonaises, sculptures en ivoire).",Art religieux (ex-voto),,M0466,2018,3522,5540,4583,484,0,,
